standard_inchi_key	identifier	label	antimicrobial_class	slug	corpus_commit
HGBLNBBNRORJKI-WCABBAIRSA-N	CHEBI:31444	cyclacillin	ANTIBACTERIAL	cyclacillin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-FHZUQPTBSA-M	CHEBI:51795	6α-[(R)-1-hydroxyethyl]-2-[(R)-tetrahydrofuran-2-yl]pen-2-em-3-carboxylate	ANTIMICROBIAL_UNSPECIFIED	6α-r-1-hydroxyethyl-2-r-tetrahydrofuran-2-yl-pen-2-em-3-carboxylate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-FHZUQPTBSA-N	CHEBI:51257	6α-[(R)-1-hydroxyethyl]-2-[(R)-tetrahydrofuran-2-yl]pen-2-em-3-carboxylic acid	ANTIMICROBIAL_UNSPECIFIED	6α-r-1-hydroxyethyl-2-r-tetrahydrofuran-2-yl-pen-2-em-3-carboxylic-aci	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-QMWPFBOUSA-M	CHEBI:51797	6α-[(S)-1-hydroxyethyl]-2-[(R)-tetrahydrofuran-2-yl]pen-2-em-3-carboxylate	ANTIMICROBIAL_UNSPECIFIED	6α-s-1-hydroxyethyl-2-r-tetrahydrofuran-2-yl-pen-2-em-3-carboxylate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-YZJVMBJSSA-M	CHEBI:51791	faropenem(1−)	ANTIMICROBIAL_UNSPECIFIED	faropenem-1	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-YZJVMBJSSA-N	CHEBI:51788	faropenem	ANTIBACTERIAL	faropenem	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-ZSJKCOSDSA-M	CHEBI:51792	6β-[(S)-1-hydroxyethyl]-2-[(R)-tetrahydrofuran-2-yl]pen-2-em-3-carboxylate	ANTIMICROBIAL_UNSPECIFIED	6β-s-1-hydroxyethyl-2-r-tetrahydrofuran-2-yl-pen-2-em-3-carboxylate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGGAKXAHAYOLDJ-ZSJKCOSDSA-N	CHEBI:51790	6β-[(S)-1-hydroxyethyl]-2-[(R)-tetrahydrofuran-2-yl]pen-2-em-3-carboxylic acid	ANTIMICROBIAL_UNSPECIFIED	6β-s-1-hydroxyethyl-2-r-tetrahydrofuran-2-yl-pen-2-em-3-carboxylic-aci	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGQNZTBYUKKJLH-CQOCVSQPSA-N	CHEBI:65740	7'-O-demethylisocephaeline	ANTIPROTOZOAL	7-o-demethylisocephaeline	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGTSZOYDQGUVER-AWEZNQCLSA-N	CHEBI:70660	(2S)-6-formyl-8-methyl-7-O-methylpinocembrin	ANTIVIRAL	2s-6-formyl-8-methyl-7-o-methylpinocembrin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HGWCKYGOWQEYSJ-JBWZRHCTSA-N	antibioticmech:aro-0cf530b2c3	arylomycin	ANTIBACTERIAL	arylomycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HHJJMAYDQLUZRZ-YNCOMUOBSA-N	antibioticmech:aro-df43621fb3	wychimicin A	ANTIBACTERIAL	wychimicin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HHXMXAQDOUCLDN-RXMQYKEDSA-N	CHEBI:35994	penem	ANTIMICROBIAL_UNSPECIFIED	penem	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HHZIURLSWUIHRB-UHFFFAOYSA-N	CHEBI:52172	nilotinib	ANTIVIRAL	nilotinib	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HIDWEYPGMLIQSN-UHFFFAOYSA-N	antibioticmech:curator-f8f4ef7fbd	Abaucin	ANTIBACTERIAL	abaucin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HIIRDDUVRXCDBN-OBGWFSINSA-N	CHEBI:81831	metominostrobin	ANTIFUNGAL	metominostrobin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HILAYQUKKYWPJW-UHFFFAOYSA-N	CHEBI:74880	1-dodecylguanidine	ANTIBACTERIAL	1-dodecylguanidine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HIPXPNHGBRGNFB-WWQAAKFXSA-N	CHEBI:66806	oceanalin A	ANTIFUNGAL	oceanalin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HIYAVKIYRIFSCZ-CVXKHCKVSA-N	CHEBI:3305	calcimycin	ANTIBACTERIAL	calcimycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HIYSWASSDOXZLC-MOHJPFBDSA-N	CHEBI:29702	undecylprodigiosin	ANTIBACTERIAL	undecylprodigiosin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJEZFVLKJYFNQW-FKKRWUELSA-N	CHEBI:31059	13-dihydrodaunorubicin	ANTIMICROBIAL_UNSPECIFIED	13-dihydrodaunorubicin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJEZFVLKJYFNQW-PRFXOSGESA-N	CHEBI:31031	(13S)-13-dihydrodaunorubicin	ANTIMICROBIAL_UNSPECIFIED	13s-13-dihydrodaunorubicin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJJDBAOLQAWBMH-YCRCPZNHSA-N	CHEBI:55490	cefmenoxime	ANTIBACTERIAL	cefmenoxime	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJJRIJDTIPFROI-NVKITGPLSA-N	CHEBI:131729	cefcapene	ANTIBACTERIAL	cefcapene	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJJVPARKXDDIQD-UHFFFAOYSA-N	CHEBI:81900	bromuconazole	ANTIFUNGAL	bromuconazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJKXMQLJTKUBMG-BAOVJYBRSA-N	CHEBI:87042	seldomycin 5	ANTIMICROBIAL_UNSPECIFIED	seldomycin-5	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJLSLZFTEKNLFI-UHFFFAOYSA-N	CHEBI:63627	tinidazole	ANTIBACTERIAL	tinidazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJNJAUYFFFOFBW-UHFFFAOYSA-N	CHEBI:2980	5,6,7-trimethoxyflavone	ANTIVIRAL	5-6-7-trimethoxyflavone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJNZTHHOZWMVPB-WCSXKIRISA-N	CHEBI:66299	respirantin	ANTIMICROBIAL_UNSPECIFIED	respirantin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HJYYPODYNSCCOU-ODRIEIDWSA-N	CHEBI:29673	rifamycin SV	ANTIMYCOBACTERIAL	rifamycin-sv	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKHLFNJYCWZXPO-NCYKPQTJSA-N	CHEBI:65382	alisiaquinone A	ANTIPROTOZOAL	alisiaquinone-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKIOYBQGHSTUDB-UHFFFAOYSA-N	CHEBI:82019	folpet	ANTIFUNGAL	folpet	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKJSNLGQALZKKO-KXSKSBKOSA-N	CHEBI:65559	callophycoic acid C	ANTIBACTERIAL	callophycoic-acid-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKMUGCUFXWTNSP-UHFFFAOYSA-N	antibioticmech:aro-6fbc93a42c	nybomycin	ANTIBACTERIAL	nybomycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKTPJHSXELPTFT-UBMKZYSCSA-N	antibioticmech:aro-07e4fbc49d	cadaside A	ANTIBACTERIAL	cadaside-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKUKJIQHPXYJTP-UHFFFAOYSA-O	CHEBI:31398	ciclopirox olamine	ANTIBACTERIAL	ciclopirox-olamine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HKVAMNSJSFKALM-GKUWKFKPSA-N	CHEBI:68478	everolimus	ANTIVIRAL	everolimus	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HMBDLBWGDMNPDW-SUXULKRESA-N	antibioticmech:aro-fdb0f4de1c	factumycin	ANTIBACTERIAL	factumycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HMEYVGGHISAPJR-IAHYZSEUSA-N	CHEBI:63334	rolitetracycline	ANTIBACTERIAL	rolitetracycline	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HMSYAPGFKGSXAJ-GFNGQHCCSA-N	antibioticmech:aro-8b2f0e38fa	kirromycin	ANTIBACTERIAL	kirromycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HMWIYUSLKIYYER-UHFFFAOYSA-N	CHEBI:70402	1-(2,3-dihydro-1H-pyrrol-1-yl)-2-methyldecane-1,3-dione	ANTIFUNGAL	1-2-3-dihydro-1h-pyrrol-1-yl-2-methyldecane-1-3-dione	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HNDXPZPJZGTJLJ-UEJFNEDBSA-N	antibioticmech:aro-28273ec780	tildipirosin	ANTIBACTERIAL	tildipirosin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HNEGCRMUYSKRRR-NWHWRWDZSA-N	CHEBI:9688	trichodermin	ANTIFUNGAL	trichodermin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HNIKNQLZTDKDEB-JVSQKCCUSA-N	antibioticmech:aro-890fe891a5	unphenelfamycin	ANTIBACTERIAL	unphenelfamycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HNVKTRONBDHSPT-QETCNUOWSA-N	CHEBI:65720	cytotrienin A	ANTIBACTERIAL	cytotrienin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HOCWPKXKMNXINF-XQERAMJGSA-N	CHEBI:52429	propicillin	ANTIBACTERIAL	propicillin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HOGGEAXXACLKBX-OPYHNVJQSA-N	CHEBI:68982	longirostrerone C	ANTIPROTOZOAL	longirostrerone-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HOGHBEDTLGAJAS-CPJSRVTESA-N	CHEBI:65862	erybraedin A	ANTIBACTERIAL	erybraedin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HOGISBSFFHDTRM-GHXIOONMSA-N	CHEBI:140109	cefdaloxime	ANTIBACTERIAL	cefdaloxime	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HOKIDJSKDBPKTQ-GLXFQSAKSA-N	CHEBI:15776	cephalosporin C	ANTIMICROBIAL_UNSPECIFIED	cephalosporin-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HPBKRTWLUQRMNA-PTYDTDROSA-N	CHEBI:71979	surfactin D	ANTIBACTERIAL	surfactin-d	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HPKJGHVHQWJOOT-ZJOUEHCJSA-N	CHEBI:152560	N-[(2S)-3-cyclohexyl-1-oxo-1-({(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}amino)propan-2-yl]-1H-indole-2-carboxamide	ANTIVIRAL	n-2s-3-cyclohexyl-1-oxo-1-2s-1-oxo-3-3s-2-oxopyrrolidin-3-yl-propan-2-	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HPNSFSBZBAHARI-RUDMXATFSA-N	CHEBI:168396	mycophenolic acid	ANTIVIRAL	mycophenolic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HQIZYPQNJWENRT-UHFFFAOYSA-N	CHEBI:195253	5-hydroxy-3-methylfuran-2(5H)-one	ANTIVIRAL	5-hydroxy-3-methylfuran-2-5h-one	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HQQSBEDKMRHYME-UHFFFAOYSA-N	CHEBI:50194	pefloxacin mesylate	ANTIBACTERIAL	pefloxacin-mesylate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HQVFHDUBRNXXHV-LZHJWXOHSA-N	CHEBI:83265	papuamide B	ANTIVIRAL	papuamide-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRAPIHJIKATMEB-GWVUBWKVSA-N	CHEBI:193157	sceliphrolactam	ANTIFUNGAL	sceliphrolactam	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRGFAEUWEMDRRZ-RIZHWKQXSA-N	CHEBI:29505	A47934	ANTIBACTERIAL	a47934	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRHJHXJQMNWQTF-UHFFFAOYSA-N	CHEBI:167557	cannabichromenic acid	ANTIBACTERIAL	cannabichromenic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRKDTQUJICJRIH-UHFFFAOYSA-N	CHEBI:66807	ochracenomicin A	ANTIBACTERIAL	ochracenomicin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRMCRRLPTVSYHJ-KUDSBEMESA-N	antibioticmech:aro-93dd2d4732	darobactin A	ANTIBACTERIAL	darobactin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRPBIJBOFQXOTL-JEJSWHNFSA-N	CHEBI:66587	17-dimethylaminolobohedleolide	ANTIVIRAL	17-dimethylaminolobohedleolide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HRYLQFBHBWLLLL-AHNJNIBGSA-N	CHEBI:3900	costunolide	ANTIVIRAL	costunolide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HSMVPDGQOIQYSR-KGENOOAVSA-N	CHEBI:81784	triflumizole	ANTIFUNGAL	triflumizole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HSMVPDGQOIQYSR-UHFFFAOYSA-N	antibioticmech:aro-d53850fc72	triflumizole	ANTIFUNGAL	triflumizole-aro-d53850fc72	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HSTKEHHVGUSTOW-PMBWZYFTSA-N	antibioticmech:aro-0f5084fe9f	cyclomarin B	ANTIBACTERIAL	cyclomarin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HTCPEWKHGGGJBI-UHFFFAOYSA-N	CHEBI:184373	cremeomycin	ANTIBACTERIAL	cremeomycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HTDSMOBGCNRBHQ-RMKNXTFCSA-N	CHEBI:70655	(E)-4,2',4'-trihydroxy-6'-methoxy-3',5'-dimethylchalcone	ANTIVIRAL	e-4-2-4-trihydroxy-6-methoxy-3-5-dimethylchalcone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HTNPEHXGEKVIHG-QCNRFFRDSA-N	CHEBI:180653	molnupiravir	ANTIVIRAL	molnupiravir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HUAYXMGRIABALH-CHOMWAFYSA-N	CHEBI:38009	3'',6'-di-N-acetylkanamycin A	ANTIMICROBIAL_UNSPECIFIED	3-6-di-n-acetylkanamycin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HUKYPYXOBINMND-HYUJHOPRSA-N	CHEBI:29630	methymycin	ANTIBACTERIAL	methymycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HUPFGZXOMWLGNK-UHFFFAOYSA-N	CHEBI:39669	diflunisal	ANTIBACTERIAL	diflunisal	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HURXYEZMLXEXLD-UHFFFAOYSA-N	CHEBI:167182	N-butyl-5-(4-hydroxyphenyl)-6-oxo-1,6-dihydropyrazine-2-carboxamide	ANTIMYCOBACTERIAL	n-butyl-5-4-hydroxyphenyl-6-oxo-1-6-dihydropyrazine-2-carboxamide	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HVFLCNVBZFFHBT-ZKDACBOMSA-N	CHEBI:478164	cefepime	ANTIBACTERIAL	cefepime	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HVFLCNVBZFFHBT-ZKDACBOMSA-O	CHEBI:59349	cefepime(1+)	ANTIMICROBIAL_UNSPECIFIED	cefepime-1	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HVTFEHJSUSPQBK-IIOAQAAUSA-N	CHEBI:69017	physalin B	ANTIPROTOZOAL	physalin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HWJHZLJIIWOTGZ-UHFFFAOYSA-N	antibioticmech:aro-1286e26ebd	formicin	ANTIBACTERIAL	formicin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HWJPWWYTGBZDEG-AWEZNQCLSA-N	CHEBI:131752	(R)-iclaprim	ANTIBACTERIAL	r-iclaprim	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HWJPWWYTGBZDEG-CQSZACIVSA-N	CHEBI:131753	(S)-iclaprim	ANTIBACTERIAL	s-iclaprim	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HWSPXPQHONXITJ-AFCXAGJDSA-N	CHEBI:180481	ribavirin 5'-diphosphate	ANTIVIRAL	ribavirin-5-diphosphate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HWSQVPGTQUYLEQ-CCBHEJLASA-N	CHEBI:67610	chaetoviridin A	ANTIFUNGAL	chaetoviridin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXAZTNIVBVVFJS-SNVBAGLBSA-N	CHEBI:65867	espicufolin	ANTIMICROBIAL_UNSPECIFIED	espicufolin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXCHCVDVKSCDHU-PJKCJEBCSA-N	CHEBI:3319	calicheamicin γ1I	ANTIMICROBIAL_UNSPECIFIED	calicheamicin-γ1i	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXCILVUBKWANLN-UHFFFAOYSA-N	CHEBI:88176	brilliant green cation	ANTIBACTERIAL	brilliant-green-cation	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXHWSAZORRCQMX-UHFFFAOYSA-N	CHEBI:16664	albendazole	ANTIFUNGAL	albendazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXKKJKCNOAUCEJ-UHFFFAOYSA-N	CHEBI:65493	bidebiline D	ANTIPROTOZOAL	bidebiline-d	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXVPWVPTVOOCMV-UNCTUWKVSA-N	CHEBI:167663	MI-1148	ANTIBACTERIAL	mi-1148	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HXWOWBFXYUFFKS-PSJNWGMYSA-N	CHEBI:88274	aranotin	ANTIVIRAL	aranotin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HYFHYPWGAURHIV-JFIAXGOJSA-N	CHEBI:71019	omacetaxine mepesuccinate	ANTIVIRAL	omacetaxine-mepesuccinate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HYFMSAFINFJTFH-NGSRAFSJSA-N	CHEBI:85412	mitomycin A	ANTIMICROBIAL_UNSPECIFIED	mitomycin-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HYJMTIGQCJGKFQ-CGNAQTDSSA-N	CHEBI:77652	novamethymycin	ANTIMICROBIAL_UNSPECIFIED	novamethymycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HYVVJDQGXFXBRZ-UHFFFAOYSA-M	CHEBI:141326	metam(1−)	ANTIFUNGAL	metam-1	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HYVVJDQGXFXBRZ-UHFFFAOYSA-N	CHEBI:141319	metam	ANTIFUNGAL	metam	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HYVWIQDYBVKITD-UHFFFAOYSA-N	CHEBI:75182	tolylfluanid	ANTIFUNGAL	tolylfluanid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HZJKXKUJVSEEFU-UHFFFAOYSA-N	antibioticmech:aro-14f45eb5b3	myclobutanil	ANTIFUNGAL	myclobutanil	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HZRSNVGNWUDEFX-UHFFFAOYSA-N	CHEBI:78780	pyraclostrobin	ANTIFUNGAL	pyraclostrobin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
HZZVJAQRINQKSD-PBFISZAISA-N	CHEBI:48947	clavulanic acid	ANTIBACTERIAL	clavulanic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IAIWVQXQOWNYOU-UHFFFAOYSA-N	CHEBI:44368	nitrofurazone	ANTIBACTERIAL	nitrofurazone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IAOFPTKYKOAKGZ-CRWQHXLTSA-N	CHEBI:61749	enfumafungin	ANTIFUNGAL	enfumafungin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IAPUSMZQQSXGDI-QXHNIIHBSA-N	CHEBI:68980	longirostrerone A	ANTIPROTOZOAL	longirostrerone-a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IBALQPBIWZLHPR-SJEMMDPOSA-N	CHEBI:65545	norcaesalpinin E	ANTIPROTOZOAL	norcaesalpinin-e	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IBSNKSODLGJUMQ-SDNWHVSQSA-N	CHEBI:83197	picoxystrobin	ANTIFUNGAL	picoxystrobin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IBXPYPUJPLLOIN-UHFFFAOYSA-N	CHEBI:141155	dimetridazole	ANTIPROTOZOAL	dimetridazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ICFBIVXFINBMRC-SRFJPACDSA-N	CHEBI:65815	durhamycin B	ANTIVIRAL	durhamycin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ICQSKHARNVQSEP-UHFFFAOYSA-N	antibioticmech:aro-605696c899	pyrrolomycin F3	ANTIBACTERIAL	pyrrolomycin-f3	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ICUTUKXCWQYESQ-UHFFFAOYSA-N	CHEBI:48347	triclocarban	BIOCIDE	triclocarban	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ICZOIXFFVKYXOM-YCLOEFEOSA-M	CHEBI:3481	cefamandole nafate	ANTIBACTERIAL	cefamandole-nafate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IDBWWEGDLCFCTD-VNEMRZQUSA-N	CHEBI:39900	N-[(5-methyl-1,2-oxazol-3-yl)carbonyl]-L-alanyl-L-valyl-N-{(2S,3E)-5-(benzyloxy)-5-oxo-1-[(3S)-2-oxopyrrolidin-3-yl]pent-3-en-2-yl}-L-leucinamide	ANTIVIRAL	n-5-methyl-1-2-oxazol-3-yl-carbonyl-l-alanyl-l-valyl-n-2s-3e-5-benzylo	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IDIIJJHBXUESQI-DFIJPDEKSA-N	CHEBI:7008	moxifloxacin hydrochloride	ANTIBACTERIAL	moxifloxacin-hydrochloride	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IDKBSYZJTHLMLI-IUKJTPATSA-N	antibioticmech:aro-cd72e61879	caprazamycin	ANTIBACTERIAL	caprazamycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IDQVFXZQPGAVAM-YPRSBIJBSA-N	CHEBI:73086	protobassic acid	ANTIFUNGAL	protobassic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IDRYSCOQVVUBIJ-PPGFLMPOSA-N	CHEBI:28196	erythromycin B	ANTIMICROBIAL_UNSPECIFIED	erythromycin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IDYZIJYBMGIQMJ-UHFFFAOYSA-N	CHEBI:157175	enoxacin	ANTIBACTERIAL	enoxacin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IECPWNUMDGFDKC-MZJAQBGESA-N	CHEBI:29013	fusidic acid	ANTIBACTERIAL	fusidic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IEDVJHCEMCRBQM-UHFFFAOYSA-N	CHEBI:45924	trimethoprim	ANTIBACTERIAL	trimethoprim	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IFLLFJMUKCVLRY-KMTMZHINSA-N	CHEBI:66173	sarasinoside J	ANTIMICROBIAL_UNSPECIFIED	sarasinoside-j	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IGGWKHQYMAJOHK-QVHQYWGISA-N	CHEBI:138224	(13R)-epi-8,13-epoxylabd-14-ene	ANTIBACTERIAL	13r-epi-8-13-epoxylabd-14-ene	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IGQLDUYTWDABFK-GUTXKFCHSA-N	CHEBI:72346	roseoflavin	ANTIMICROBIAL_UNSPECIFIED	roseoflavin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IHCDKJZZFOUARO-UHFFFAOYSA-M	CHEBI:63858	sulfacetamide sodium	ANTIMICROBIAL_UNSPECIFIED	sulfacetamide-sodium	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IHFBPDAQLQOCBX-UHFFFAOYSA-N	antibioticmech:curator-b453af7884	Hispidulin	ANTIBACTERIAL	hispidulin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IHIIRQILYAXIOH-NUVDETJMSA-N	CHEBI:8351	pradimicin C	ANTIFUNGAL	pradimicin-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IHQIMVZJVJTKSV-UHFFFAOYSA-N	CHEBI:65799	diperamycin	ANTIBACTERIAL	diperamycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IIFHKWNCTVOSKL-OKGGWNPJSA-N	CHEBI:66147	klugine	ANTIPROTOZOAL	klugine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IIJUQWOGZFHFTN-FHUFSZDOSA-N	antibioticmech:aro-6a4094ddb2	dragmacidin F	ANTIBACTERIAL	dragmacidin-f	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IIQSJHUEZBTSAT-VMPREFPWSA-N	CHEBI:132893	fangchinoline	ANTIVIRAL	fangchinoline	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IJJVMEJXYNJXOJ-UHFFFAOYSA-N	CHEBI:83923	fluquinconazole	ANTIFUNGAL	fluquinconazole	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IJMVGIBIGDBVLY-FIFJRYGNSA-N	antibioticmech:aro-d623ec0929	epinecidin-1	ANTIBACTERIAL	epinecidin-1	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IJODRMYZNYTFTC-UHFFFAOYSA-N	antibioticmech:aro-ba8c8dd0ec	pyrrolomycin D	ANTIBACTERIAL	pyrrolomycin-d	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IJOMIIDEKGZJJF-KSCHHOEWSA-N	CHEBI:152570	butremycin	ANTIBACTERIAL	butremycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IJXHLVMUNBOGRR-UHFFFAOYSA-N	CHEBI:44499	methyl nonanoate	ANTIFUNGAL	methyl-nonanoate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IKGXIBQEEMLURG-NVPNHPEKSA-N	antibioticmech:curator-59edbdc708	Rutin	ANTIBACTERIAL	rutin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IKIIZLYTISPENI-ZFORQUDYSA-N	CHEBI:2981	baicalin	ANTIBACTERIAL	baicalin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
IKNYNBVDLOWJFN-AKGWNBJDSA-N	CHEBI:66077	integracin B	ANTIVIRAL	integracin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
