chebi_id	species_text	species_accession	component_text	strain_text	source_accession	comments
CHEBI:46215	Homo sapiens	9606			26449609	
CHEBI:46229	Arabidopsis thaliana	3702			18057039	
CHEBI:46229	Escherichia coli	562			4908789	
CHEBI:46229	Homo sapiens	9606			23106432	
CHEBI:46245	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:46398	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:46398	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:46644	Escherichia coli	562			13831814	
CHEBI:46645	Saccharomyces cerevisiae	4932			24305546	
CHEBI:46645	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:46745	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:46750	Erythroxylum coca	289672	leaf		Ber., 1889, v22, 677	
CHEBI:46828	Homo sapiens	9606			8724297	
CHEBI:46828	Mus musculus	10090			15230696	
CHEBI:46898	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:46898	Mus musculus	10090			MTBLS143	
CHEBI:46899	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:46905	Chlamydomonas reinhardtii	3055			MTBLS208	From MetaboLights
CHEBI:46905	Chlamydomonas reinhardtii	3055			MTBLS37	From MetaboLights
CHEBI:46905	Glycine max	3847			MTBLS117	From MetaboLights
CHEBI:46905	Homo sapiens	9606	blood serum		MTBLS152	From MetaboLights
CHEBI:46905	Homo sapiens	9606	blood serum		MTBLS90	
CHEBI:46905	Homo sapiens	9606	blood serum		MTBLS90	From MetaboLights
CHEBI:46912	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:46912	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:46961	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:46961	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:46970	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:46971	Hyoscyamus muticus	35626			7706281	
CHEBI:46998	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:47025	Escherichia coli	562			21988831	
CHEBI:47027	Escherichia coli	562			21988831	
CHEBI:47028	Escherichia coli	562			21988831	
CHEBI:47248	Homo sapiens	9606	urine		27085014	
CHEBI:47248	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:47248	Neosiphonia sphaerocarpa	146348			10656411	
CHEBI:47248	Rattus norvegicus	10116			4002232	
CHEBI:47266	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:47696	Grateloupia elliptica	118371			18951591	
CHEBI:47696	Neosiphonia sphaerocarpa	146348			10656411	
CHEBI:47766	Mus musculus	10090			MTBLS143	
CHEBI:47771	Helianthus annuus	4232	seed		10.1007/s11032-005-5678-5	
CHEBI:47771	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47771	Homo sapiens	9606	blood		262184	
CHEBI:47771	Panax ginseng	4054			MTBLS350	From MetaboLights
CHEBI:47771	Quercus robur	38942			10.1007/s00217-018-3150-0	
CHEBI:47771	Quercus rubra	3512			10.1007/s00217-018-3150-0	
CHEBI:47772	Homo sapiens	9606	blood		12772433	
CHEBI:47772	Panax ginseng	4054			MTBLS350	From MetaboLights
CHEBI:47799	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47803	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47812	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47813	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47856	Citrus hystrix	170989	exocarp		20964319	The hexane extract of dried and ground fruit peels
CHEBI:47921	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47942	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:47942	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:47952	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:47968	Escherichia coli	562			21988831	
CHEBI:47977	Escherichia coli	562			21988831	
CHEBI:47977	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48000	Escherichia coli	562			21988831	
CHEBI:48005	Escherichia coli	562			21988831	
CHEBI:48045	Salinispora tropica	168695		CNB-392	12548698	
CHEBI:48095	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:48131	Carthamus oxyacantha	122010	aerial part		22060189	Crude ethanolic extract of aerial parts
CHEBI:48131	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:48153	Escherichia coli	562			21988831	
CHEBI:48153	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48267	Actinopolyspora erythraea YIM 90600	414996	mycelium		21870828	EtOAc extract of fermentation broth and Acetone extract of mycelia were together used
CHEBI:48267	Caulospongia biflabellata	297728			21870828	
CHEBI:48267	Streptomyces tubercidicus	47759			21870828	
CHEBI:48267	Tolypothrix byssoidea	213754			21870828	
CHEBI:48294	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:48300	Homo sapiens	9606			908147	
CHEBI:48309	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48429	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48430	Chlamydomonas reinhardtii	3055			25515814	
CHEBI:48430	Homo sapiens	9606			14636955	
CHEBI:48522	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48707	Penicillium citrinum	5077		F53	21053938	Penicillium species isolated from a seaweed caulerpa sp.
CHEBI:48814	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48861	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48926	Escherichia coli	562			21988831	
CHEBI:48926	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48943	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:48944	Homo sapiens	9606			3572204	
CHEBI:48945	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:48947	Streptomyces clavuligerus	1901			18450406	
CHEBI:48954	Escherichia coli	562			21988831	
CHEBI:48954	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48957	Escherichia coli	562			21988831	
CHEBI:48957	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48991	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:48991	Theobroma cacao	3641			18068204	
CHEBI:48999	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:49000	Aspergillus niger	5061		var.  Tieghem.	Phytochemistry,  1988, 27(10), 3169-3173	
CHEBI:49000	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:49003	Escherichia coli	562			21988831	
CHEBI:49003	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:49016	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:49032	Escherichia coli	562			21988831	
CHEBI:49033	Homo sapiens	9606			12576054	
CHEBI:49039	Escherichia coli	562			21988831	
CHEBI:49050	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:49072	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:49164	Brucea javanica	210348	seed		10.1016/0031-9422(96)00258-0	
CHEBI:49164	Solanum lyratum	230192	whole plant		19336938	
CHEBI:49164	Typha latifolia	4733			10.1021/np50070a031	
CHEBI:49189	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:49211	Avicennia germinans	41378			11152952	
CHEBI:49211	Epimedium koreanum	63351			12081149	
CHEBI:49212	Machilus robusta	460780	bark		21627109	95%aqueous EtOH extract of air-dried bark
CHEBI:49256	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:49258	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:49260	Escherichia coli	562			21988831	
CHEBI:49268	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:49284	Psidium guajava	120290			4013523	
CHEBI:49388	Haloarcula japonica	29282			25712483	
CHEBI:49388	Haloarcula marismortui	2238			25402913	
CHEBI:49388	Halobacterium salinarum	2242			24823651	
CHEBI:49575	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50038	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50130	Aspergillus terreus	33178		ATCC 20542	24534845	
CHEBI:50130	Monascus ruber	89489		M 4681	3839227	
CHEBI:50157	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50157	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50169	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50207	Macaranga bicolor	396452			21275386	Methanol-Dichloromethane (1:1) extract of dried, ground plant material
CHEBI:50209	Sophora flavescens	49840	root		10843587	
CHEBI:50209	Sophora pachycarpa	149668	root		17137127	
CHEBI:50211	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50250	Mentha x piperita	34256			16663900	
CHEBI:50271	Escherichia coli	562			21988831	
CHEBI:50399	Cordyceps sinensis	72228	mycelium		21848266	Ethanolic extract of dried mycelia
CHEBI:50437	Citricoccus sp.	907777		KMM 3890	21376551	
CHEBI:50437	Erwinia amylovora	552			21814817	
CHEBI:50437	Streptomyces olivaceus	47716		TU 2718	1367428	
CHEBI:50437	Streptomyces sp.	1931	latex	C34	21879726	Previous component: resin; MeOH extract of cell mass and HP20 resin
CHEBI:50462	Citrus hystrix	170989	exocarp		20964319	The hexane extract of dried and ground fruit peels
CHEBI:50464	Daphnia galeata	27404			10.1046/j.1365-2427.1997.00238.x	
CHEBI:50464	Homo sapiens	9606	saliva		10.1007/s11306-015-0840-5	
CHEBI:50464	Homo sapiens	9606	blood		21359215	
CHEBI:50516	Mus musculus	1009	brain		22891291	
CHEBI:50519	Escherichia coli	562			21988831	
CHEBI:50545	Homo sapiens	9606	saliva		24421258	
CHEBI:50569	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50570	Escherichia coli	562			21988831	
CHEBI:50570	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50570	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50570	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50571	Escherichia coli	562			21988831	
CHEBI:50571	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50571	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50571	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50583	Escherichia coli	562			21988831	
CHEBI:50583	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50583	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50583	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50585	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50586	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50591	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50591	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50593	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50593	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50593	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50599	Homo sapiens	9606			23562588	
CHEBI:50602	Escherichia coli	562			21988831	
CHEBI:50603	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50606	Escherichia coli	562			21988831	
CHEBI:50606	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50611	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50616	Escherichia coli	562			21988831	
CHEBI:50619	Iris	26378			14213360	
CHEBI:50619	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50622	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50625	Triatoma brasiliensis	65344	gland		21486009	metasternal glands
CHEBI:50626	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:50651	Escherichia coli	562			21988831	
CHEBI:50651	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50651	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:50653	Schizophyllum commune	5334			30209318	
CHEBI:50694	Escherichia coli	562			21988831	
CHEBI:50728	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50771	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50772	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50773	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50774	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50775	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50776	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:50861	Homo sapiens	9606	blood serum		MTBLS90	
CHEBI:50945	Penicillium purpurogenum	28575	mycelium	JS03 21	21879714	Ethylacetate extract of fermentation broth and acetone extract of mycelia
CHEBI:51013	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:51057	Homo sapiens	9606			21886157	
CHEBI:51340	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:51341	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:51453	Homo sapiens	9606			22770225	
CHEBI:51453	Mus musculus	10090			23868375	
CHEBI:51460	Streptomyces coelicolor A3(2)	100226			22151149	
CHEBI:51686	Haematoxylum campechianum	321551			12751322	
CHEBI:51687	Camellia sinensis	4442			10.1016/j.foodchem.2013.08.121	
CHEBI:51807	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:51985	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:51985	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:52023	Homo sapiens	9606			23756265	
CHEBI:52023	Homo sapiens	9606	blood serum		MTBLS90	
CHEBI:52023	Mus musculus	10090			23752203	
CHEBI:52030	Homo sapiens	9606			8315264	
CHEBI:52030	Mus musculus	10090			24399466	
CHEBI:52043	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:52045	Rubus chingii	714495	fruit		21747716	
CHEBI:52226	Centella asiatica	48106			MTBLS175	
CHEBI:52288	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52324	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52324	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52325	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52325	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52326	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52326	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52327	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52327	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52328	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52328	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52329	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52329	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52333	Mus musculus	10090			MTBLS143	
CHEBI:52367	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:52368	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:52371	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52372	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52373	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52374	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52375	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52376	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52377	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52378	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52379	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52380	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52381	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52382	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52383	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52384	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52385	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52386	Brassica napus	3708			MTBLS312	
CHEBI:52386	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52386	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52388	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52389	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52392	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52392	Mus musculus	10090			12878451	
CHEBI:52402	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52449	Homo sapiens	9606			8906847	
CHEBI:52449	Mus musculus	10090			MTBLS143	
CHEBI:52595	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52615	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52639	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52668	Escherichia coli	562			21988831	
CHEBI:52960	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52961	Mus musculus	10090			MTBLS143	
CHEBI:52961	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52962	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52965	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52966	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52968	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52970	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52971	Saccharomyces cerevisiae	4932			13835567	
CHEBI:52971	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52972	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:52972	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52973	Cordyceps sinensis	72228	mycelium		21848266	Ethanolic extract of dried mycelia
CHEBI:52973	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52974	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52974	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52975	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52976	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52977	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:52977	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52979	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:52980	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53004	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53005	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53013	Escherichia coli	562			21988831	
CHEBI:53013	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53019	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53020	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53023	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53026	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53027	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53031	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53032	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53033	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53034	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53035	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53036	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53037	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53038	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53039	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53040	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53041	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53042	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53043	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53044	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53045	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53046	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53047	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53048	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53055	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53055	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53056	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53056	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53057	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53057	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53058	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53058	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53059	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53059	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53060	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53060	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53064	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53065	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53066	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:53169	Crocus sativus	82528			40596539	
CHEBI:53486	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:53486	Mortierella alpina	64518			9668087	
CHEBI:53487	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:53487	Rebecca salina	561169			17291553	
CHEBI:53488	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:53488	Rebecca salina	561169			17291553	
CHEBI:53629	Metasequoia glyptostroboides	3371	leaf		21226514	95% ethanolic extract of air-dried, powdered stems and leaves
CHEBI:53629	Metasequoia glyptostroboides	3371	stem		21226514	95% ethanolic extract of air-dried, powdered stems and leaves
CHEBI:53644	Metasequoia glyptostroboides	3371	stem		21226514	95% ethanolic extract of air-dried, powdered stems and leaves
CHEBI:53644	Metasequoia glyptostroboides	3371	leaf		21226514	95% ethanolic extract of air-dried, powdered stems and leaves
CHEBI:53647	Escherichia coli	562			21988831	
CHEBI:53678	Homo sapiens	9606			9151778	
CHEBI:53742	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:53753	Caenorhabditis elegans	6239			23475189	
CHEBI:55404	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:55451	Escherichia coli	562			21988831	
CHEBI:55451	Mus musculus	10090			19425150	Source: BioModels - MODEL1507180067
CHEBI:55501	Aspergillus niger	5061		var.  Tieghem.	Phytochemistry,  1988, 27(10), 3169-3173	
CHEBI:55501	Berberis koreana	211974			21420296	extracted from the trunk
CHEBI:55501	Homo sapiens	9606	urine		19812218	
CHEBI:55501	Homo sapiens	9606	blood		19812218	
CHEBI:55501	Homo sapiens	9606	saliva		21190195	
CHEBI:55535	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57255	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57265	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57265	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57286	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57286	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57287	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57287	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57288	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57288	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57291	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57292	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57292	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57299	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57307	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57307	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57308	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57308	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57309	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57309	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57310	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57312	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57315	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57316	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57326	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57327	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57328	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57328	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57330	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57330	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57332	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57334	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57335	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57336	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57337	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57338	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57340	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57344	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57345	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57346	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57349	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57349	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57351	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57355	Homo sapiens	9606			10.1038/nbt.2488	
CHEBI:57356	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
CHEBI:57360	Saccharomyces cerevisiae	4932			24678285	Source: yeast.sf.net
